,date,y,y_p,ln_y_p_over_y,log_y,d4_log_y,rr_ma4_l1,rr_ma4_l5,rr_ma4_l9,u_ma4_l1,u_ma4_l2,u_ma4_l3,u_ma4_l4,u_ma4_l5,d_u,d4_u,d4_u_l1,d4_u_ma4_l1,cci_cs_ma4_l1,cci_fs_ma4_l1,cci_es_ma4_l1,t_bill_d4,t_bill_d4_l1,stock_log_ma4_l1,oil_log_ma4_l1,oil_log_ma4_l5,fx_log_ma4_l1,fx_log_ma4_l5,log_work_age_pop_share,covid19,trend,splittrend_pdv
45,1991-06-30 23:59:59.999999999,74.24762674207231,77.34302470669493,0.04084458052724749,4.307405814102246,0.017286752327937194,6.286380191971502,5.934407980650097,4.740122945151515,7.86837225,7.86837225,7.912453000000001,8.00061425,8.132856,0.2644839999999995,0.352644999999999,0.0,-0.26448375000000013,-7.566666666666666,-0.875,-21.666666666666668,-0.3318333340000006,-0.9668333330000003,3.4300697258938495,3.1397729903153264,2.933200431744332,4.697609684143906,4.6751882624093035,4.184814414071333,0.0,45.0,0.0
46,1991-09-30 23:59:59.999999999,74.14663704302161,77.61285097885595,0.04568830475223873,4.3060447141235025,0.0028643544101365492,6.229581065934069,6.309156669042681,4.905081756736413,7.956533500000001,7.86837225,7.86837225,7.912453000000001,8.00061425,0.264482000000001,0.617127,0.352644999999999,-0.044080749999999114,-8.7,-1.6666666666666665,-24.5,-0.4789999999999992,-0.3318333340000006,3.3910198548810193,3.1803975208046067,2.8922224194004746,4.687943023700045,4.684925839251086,4.184292339320044,0.0,46.0,0.0
47,1991-12-31 23:59:59.999999999,74.10624116340134,77.91434281174122,0.050110299197918096,4.30549975498195,0.009034969057911901,6.058676179160399,6.594343465480873,5.105818480688789,8.11081525,7.956533500000001,7.86837225,7.86837225,7.912453000000001,0.176323,0.79345,0.617127,0.19836224999999885,-9.725,-2.308333333333333,-27.208333333333332,-0.33613333299999937,-0.4789999999999992,3.3897519830634684,3.1094845607305164,2.996763745453462,4.67635524321178,4.693954598248606,4.183769991864332,0.0,47.0,0.0
48,1992-03-31 23:59:59.999999999,74.80307008685114,78.24080457236346,0.04493238098277974,4.314858928080012,0.012635179303962296,6.220034187404916,6.484483139005842,5.508103266352227,8.30917775,8.11081525,7.956533500000001,7.86837225,7.86837225,0.1469339999999999,0.8522230000000004,0.79345,0.44080549999999974,-10.075,-2.175,-28.25,0.4336000000000002,-0.33613333299999937,3.414290355506731,2.99557320766215,3.128508342320574,4.665435600264691,4.699795306672536,4.1832530535446955,0.0,48.0,0.0
49,1992-06-30 23:59:59.999999999,75.54029488992123,78.54322727294284,0.03898291808964949,4.324666221035246,0.017260406932999572,6.506487215165779,6.286380191971502,5.934407980650097,8.522233499999999,8.30917775,8.11081525,7.956533500000001,7.86837225,0.14693600000000018,0.7346750000000011,0.8522230000000004,0.6538612499999985,-10.025,-1.9,-27.724999999999998,0.7363,0.4336000000000002,3.4432225497554834,2.959528825217318,3.1397729903153264,4.658146045434947,4.697609684143906,4.182927467347656,0.0,49.0,0.0
50,1992-09-30 23:59:59.999999999,75.82306604726318,78.82143318897575,0.0387824068907916,4.3284025477731225,0.022357833649619963,6.662149608072732,6.229581065934069,6.309156669042681,8.70590225,8.522233499999999,8.30917775,8.11081525,7.956533500000001,0.20570799999999956,0.6759009999999996,0.7346750000000011,0.7493687499999986,-9.733333333333334,-1.65,-26.9,0.9563666669999993,0.7363,3.4620035198174604,2.9742528464460616,3.1803975208046067,4.659066132662762,4.687943023700045,4.182598195484835,0.0,50.0,0.0
51,1992-12-31 23:59:59.999999999,75.94425368612403,79.10041777172181,0.04071858931317074,4.329999567010609,0.02449981202865903,7.9977108672957495,6.058676179160399,6.594343465480873,8.8748775,8.70590225,8.522233499999999,8.30917775,8.11081525,0.20570999999999984,0.7052879999999995,0.6759009999999996,0.7640622500000003,-9.591666666666667,-1.4916666666666667,-26.733333333333334,0.8745333329999987,0.9563666669999993,3.457151867279565,2.9766711441552554,3.1094845607305164,4.665894633717067,4.67635524321178,4.182268815166342,0.0,51.0,0.0
52,1993-03-31 23:59:59.999999999,75.83316501716826,79.39954286664688,0.04595688072289317,4.328535730166607,0.01367680208659472,8.30304281072377,6.220034187404916,6.484483139005842,9.051199500000001,8.8748775,8.70590225,8.522233499999999,8.30917775,0.38203099999999957,0.9403849999999991,0.7052879999999995,0.742021750000001,-9.341666666666667,-1.4083333333333334,-26.28333333333333,1.3594666659999994,0.8745333329999987,3.445805006207242,2.959402675989877,2.99557320766215,4.677327577366839,4.665435600264691,4.181946490276198,0.0,52.0,0.0
53,1993-06-30 23:59:59.999999999,76.27751969299132,79.70709028643891,0.0439802796477915,4.334378264380171,0.00971204334492537,8.735770631939399,6.506487215165779,6.286380191971502,9.28629575,9.051199500000001,8.8748775,8.70590225,8.522233499999999,0.3526490000000013,1.1460980000000003,0.9403849999999991,0.764062250000002,-9.558333333333334,-1.8166666666666669,-26.925,-2.2651000000000003,1.3594666659999994,3.443583187723567,2.963135808311396,2.959528825217318,4.689037313376382,4.658146045434947,4.1816831931619785,0.0,53.0,0.0
54,1993-09-30 23:59:59.999999999,76.085639264795,80.00688866294992,0.050253200934940345,4.331859538318709,0.003456990545586791,8.367833393096074,6.662149608072732,6.229581065934069,9.57282025,9.28629575,9.051199500000001,8.8748775,8.70590225,0.3232499999999998,1.2636400000000005,1.1460980000000003,0.8669180000000001,-9.95,-2.9833333333333334,-27.31666666666667,-3.2733666670000003,-2.2651000000000003,3.43990091764572,2.9407340713702803,2.9742528464460616,4.698646478247223,4.659066132662762,4.181416932181898,0.0,54.0,0.0
